POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S
1,David Warner (SRH),692,12,12,2,100*,69.20,481,143.86,1,8,57,21
2,KL Rahul (PBKS),593,14,14,3,100*,53.90,438,135.38,1,6,49,25
3,Quinton de Kock (MI),529,16,16,1,81,35.26,398,132.91,0,4,45,25
4,Shikhar Dhawan (DC),521,16,16,1,97*,34.73,384,135.67,0,5,64,11
5,Andre Russell (KKR),510,14,13,4,80*,56.66,249,204.81,0,4,31,52
6,Chris Gayle (PBKS),490,13,13,1,99*,40.83,319,153.60,0,4,45,34
7,Rishabh Pant (DC),488,16,16,3,78*,37.53,300,162.66,0,3,37,27
8,Virat Kohli (RCB),464,14,14,0,100,33.14,328,141.46,1,2,46,13
9,Shreyas Iyer (DC),463,16,16,1,67,30.86,386,119.94,0,3,41,14
10,Jonny Bairstow (SRH),445,10,10,2,114,55.62,283,157.24,1,2,48,18
11,AB de Villiers (RCB),442,13,13,3,82*,44.20,287,154.00,0,5,31,26
12,Suryakumar Yadav (MI),424,16,15,2,71*,32.61,324,130.86,0,2,45,10
13,MS Dhoni (CSK),416,15,12,7,84*,83.20,309,134.62,0,3,22,23
14,Chris Lynn (KKR),405,13,13,0,82,31.15,290,139.65,0,4,41,22
15,Rohit Sharma (MI),405,15,15,1,67,28.92,315,128.57,0,2,52,10
16,Hardik Pandya (MI),402,16,15,6,91,44.66,210,191.42,0,1,28,29
17,Shane Watson (CSK),398,17,17,0,96,23.41,312,127.56,0,3,42,20
18,Faf du Plessis (CSK),396,12,12,1,96,36.00,321,123.36,0,3,36,15
19,Ajinkya Rahane (RR),393,14,13,1,105*,32.75,285,137.89,1,1,45,9
20,Suresh Raina (CSK),383,17,17,1,59,23.93,314,121.97,0,3,45,9
